id,label
0,3
1,6
2,3
3,4
4,4
5,5
6,0
7,4
8,4
9,4
10,3
11,3
12,3
13,6
14,4
15,3
16,6
17,6
18,0
19,0
20,0
21,3
22,4
23,4
24,4
25,5
26,3
27,6
28,0
29,2
30,4
31,5
32,6
33,3
34,2
35,0
36,0
37,3
38,0
39,4
40,5
41,5
42,2
43,4
44,4
45,4
46,4
47,4
48,3
49,6
50,4
51,4
52,4
53,4
54,1
55,6
56,5
57,3
58,4
59,2
60,6
61,4
62,4
63,4
64,5
65,2
66,2
67,4
68,0
69,0
70,2
71,4
72,4
73,4
74,5
75,3
76,3
77,4
78,3
79,5
80,0
81,3
82,2
83,3
84,3
85,4
86,5
87,3
88,4
89,5
90,4
91,4
92,4
93,0
94,0
95,6
96,0
97,3
98,5
99,4
100,4
101,3
102,3
103,4
104,4
105,3
106,2
107,3
108,3
109,4
110,3
111,2
112,3
113,4
114,0
115,3
116,4
117,6
118,3
119,5
120,0
121,3
122,2
123,4
124,3
125,2
126,2
127,4
128,6
129,0
130,3
131,3
132,3
133,4
134,2
135,3
136,6
137,0
138,0
139,2
140,2
141,3
142,6
143,2
144,6
145,4
146,4
147,4
148,4
149,4
150,0
151,3
152,4
153,4
154,4
155,4
156,0
157,6
158,4
159,2
160,4
161,4
162,4
163,2
164,4
165,4
166,4
167,3
168,0
169,4
170,0
171,2
172,4
173,3
174,6
175,4
176,4
177,6
178,3
179,2
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
190,5
191,0
192,3
193,2
194,2
195,4
196,4
197,4
198,6
199,6
200,4
201,2
202,3
203,4
204,3
205,4
206,4
207,6
208,3
209,4
210,6
211,0
212,4
213,0
214,6
215,4
216,3
217,5
218,4
219,2
220,0
221,4
222,0
223,4
224,4
225,4
226,0
227,0
228,4
229,0
230,6
231,6
232,6
233,3
234,0
235,0
236,3
237,3
238,0
239,3
240,6
241,5
242,4
243,3
244,3
245,0
246,4
247,4
248,3
249,4
250,6
251,0
252,5
253,2
254,4
255,6
256,5
257,0
258,3
259,4
260,5
261,4
262,4
263,5
264,2
265,0
266,6
267,2
268,3
269,5
270,4
271,6
272,4
273,6
274,4
275,0
276,4
277,2
278,5
279,0
280,1
281,5
282,1
283,6
284,3
285,4
286,4
287,4
288,6
289,5
290,4
291,3
292,3
293,2
294,3
295,3
296,0
297,6
298,0
299,2
300,5
301,4
302,4
303,3
304,4
305,3
306,4
307,3
308,3
309,5
310,3
311,3
312,3
313,4
314,2
315,6
316,4
317,6
318,0
319,0
320,0
321,4
322,3
323,6
324,6
325,4
326,4
327,6
328,4
329,2
330,3
331,4
332,0
333,2
334,4
335,3
336,4
337,6
338,0
339,3
340,3
341,0
342,0
343,3
344,0
345,3
346,2
347,4
348,0
349,4
350,0
351,6
352,0
353,4
354,3
355,5
356,6
357,2
358,2
359,3
360,3
361,5
362,5
363,0
364,4
365,4
366,4
367,4
368,1
369,3
370,3
371,4
372,4
373,3
374,4
375,5
376,2
377,2
378,3
379,6
380,4
381,6
382,0
383,4
384,5
385,3
386,3
387,5
388,0
389,0
390,4
391,5
392,0
393,3
394,4
395,4
396,3
397,0
398,4
399,2
400,3
401,4
402,6
403,4
404,4
405,5
406,4
407,3
408,4
409,3
410,4
411,0
412,4
413,4
414,2
415,4
416,5
417,0
418,3
419,3
420,4
421,0
422,0
423,6
424,5
425,4
426,6
427,6
428,4
429,6
430,0
431,4
432,4
433,3
434,2
435,6
436,2
437,0
438,4
439,3
440,4
441,4
442,4
443,2
444,4
445,2
446,4
447,0
448,6
449,6
450,3
451,0
452,2
453,5
454,6
455,6
456,3
457,0
458,3
459,2
460,3
461,0
462,3
463,6
464,3
465,6
466,2
467,2
468,3
469,3
470,4
471,1
472,2
473,2
474,3
475,2
476,0
477,5
478,4
479,6
480,0
481,3
482,4
483,4
484,4
485,4
486,4
487,0
488,6
489,4
490,4
491,4
492,2
493,4
494,4
495,2
496,4
497,0
498,0
499,4
500,4
501,0
502,3
503,4
504,2
505,3
506,5
507,3
508,4
509,4
510,5
511,6
512,4
513,3
514,6
515,6
516,0
517,4
518,0
519,0
520,3
521,4
522,4
523,1
524,2
525,2
526,4
527,4
528,2
529,4
530,5
531,4
532,4
533,0
534,3
535,6
536,0
537,2
538,2
539,4
540,3
541,4
542,0
543,0
544,4
545,0
546,4
547,3
548,1
549,4
550,3
551,3
552,2
553,2
554,3
555,2
556,4
557,5
558,4
559,2
560,5
561,3
562,4
563,6
564,4
565,4
566,6
567,4
568,4
569,6
570,3
571,4
572,2
573,5
574,4
575,5
576,5
577,6
578,5
579,0
580,4
581,3
582,4
583,5
584,6
585,3
586,4
587,4
588,0
589,4
590,0
591,4
592,5
593,6
594,2
595,3
596,2
597,4
598,2
599,4
600,6
601,0
602,4
603,6
604,0
605,2
606,3
607,4
608,6
609,4
610,4
611,6
612,2
613,3
614,6
615,2
616,4
617,3
618,4
619,5
620,4
621,3
622,2
623,0
624,2
625,6
626,6
627,3
628,4
629,2
630,5
631,3
632,3
633,3
634,3
635,2
636,6
637,0
638,4
639,5
640,3
641,3
642,4
643,3
644,2
645,0
646,4
647,3
648,3
649,4
650,4
651,3
652,0
653,5
654,6
655,4
656,0
657,4
658,3
659,6
660,2
661,2
662,3
663,2
664,3
665,4
666,3
667,2
668,4
669,4
670,4
671,4
672,0
673,3
674,3
675,3
676,2
677,0
678,2
679,3
680,2
681,3
682,4
683,4
684,4
685,3
686,3
687,2
688,4
689,2
690,3
691,3
692,2
693,6
694,4
695,2
696,0
697,0
698,0
699,5
700,4
701,5
702,0
703,2
704,3
705,2
706,3
707,4
708,2
709,2
710,2
711,3
712,2
713,2
714,4
715,4
716,3
717,2
718,6
719,4
720,3
721,0
722,2
723,0
724,3
725,2
726,3
727,4
728,4
729,6
730,4
731,2
732,2
733,4
734,0
735,3
736,3
737,4
738,3
739,3
740,0
741,0
742,6
743,4
744,4
745,3
746,2
747,3
748,4
749,3
750,4
751,2
752,0
753,2
754,4
755,4
756,4
757,4
758,3
759,3
760,6
761,4
762,3
763,5
764,6
765,0
766,3
767,5
768,6
769,4
770,3
771,3
772,3
773,0
774,2
775,6
776,4
777,3
778,3
779,4
780,2
781,0
782,4
783,6
784,6
785,4
786,2
787,3
788,3
789,4
790,4
791,3
792,2
793,3
794,3
795,3
796,3
797,4
798,0
799,4
800,2
801,4
802,4
803,3
804,3
805,2
806,4
807,4
808,4
809,2
810,2
811,2
812,3
813,2
814,4
815,2
816,3
817,5
818,2
819,3
820,4
821,3
822,2
823,3
824,3
825,3
826,4
827,4
828,2
829,3
830,2
831,4
832,4
833,4
834,3
835,2
836,4
837,3
838,4
839,6
840,6
841,4
842,2
843,4
844,2
845,3
846,3
847,3
848,2
849,3
850,2
851,2
852,2
853,4
854,2
855,4
856,2
857,5
858,2
859,4
860,3
861,4
862,6
863,4
864,3
865,3
866,4
867,4
868,0
869,4
870,4
871,6
872,4
873,4
874,4
875,5
876,3
877,4
878,6
879,4
880,3
881,4
882,4
883,2
884,3
885,0
886,3
887,4
888,4
889,4
890,2
891,4
892,2
893,3
894,2
895,3
896,4
897,4
898,6
899,0
900,3
901,6
902,4
903,3
904,4
905,4
906,4
907,4
908,3
909,4
910,4
911,4
912,4
913,3
914,2
915,6
916,3
917,3
918,4
919,2
920,3
921,4
922,2
923,4
924,4
925,2
926,3
927,4
928,2
929,4
930,4
931,6
932,0
933,0
934,2
935,3
936,4
937,3
938,3
939,2
940,4
941,3
942,4
943,3
944,0
945,4
946,3
947,4
948,2
949,5
950,4
951,4
952,0
953,4
954,6
955,3
956,4
957,3
958,4
959,2
960,3
961,5
962,6
963,3
964,5
965,6
966,2
967,4
968,3
969,2
970,2
971,4
972,5
973,4
974,4
975,4
976,3
977,2
978,4
979,3
980,4
981,6
982,3
983,0
984,6
985,2
986,4
987,4
988,0
989,4
990,3
991,0
992,4
993,4
994,3
995,3
996,6
997,3
998,5
999,4
1000,4
1001,4
1002,5
1003,6
1004,4
1005,5
1006,6
1007,3
1008,0
1009,4
1010,6
1011,5
1012,4
1013,0
1014,3
1015,3
1016,0
1017,0
1018,4
1019,4
1020,5
1021,5
1022,3
1023,6
1024,5
1025,4
1026,0
1027,3
1028,4
1029,0
1030,5
1031,2
1032,3
1033,3
1034,5
1035,0
1036,4
1037,4
1038,6
1039,3
1040,2
1041,0
1042,4
1043,6
1044,3
1045,6
1046,4
1047,4
1048,3
1049,3
1050,2
1051,4
1052,2
1053,2
1054,6
1055,3
1056,2
1057,6
1058,4
1059,4
1060,6
1061,3
1062,0
1063,4
1064,6
1065,0
1066,4
1067,4
1068,4
1069,2
1070,3
1071,3
1072,3
1073,2
1074,3
1075,3
1076,5
1077,6
1078,6
1079,4
1080,4
1081,4
1082,5
1083,6
1084,3
1085,5
1086,0
1087,4
1088,6
1089,4
1090,2
1091,0
1092,3
1093,3
1094,2
1095,6
1096,3
1097,3
1098,4
1099,5
1100,0
1101,2
1102,4
1103,4
1104,5
1105,2
1106,6
1107,4
1108,4
1109,3
1110,3
1111,6
1112,3
1113,3
1114,0
1115,2
1116,3
1117,3
1118,0
1119,3
1120,3
1121,6
1122,4
1123,3
1124,3
1125,0
1126,4
1127,1
1128,0
1129,3
1130,5
1131,4
1132,0
1133,4
1134,6
1135,5
1136,3
1137,4
1138,5
1139,6
1140,0
1141,4
1142,2
